Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
32,20210501-shapefuture-b-session2-f,20210502-shapefuture-b-session2-g,6,10,5,5,2,10,6,6,0,8,2,10,0,10,8,10,8,2,10,10,10,,10,10,10,10,3,9,8,7,2,1,2,0,10,10,3,6,0,5,10,10,1,7,10,6,10,10,10,10,10,10,10,10,1,10,10,10,6,1,10,10,0,0,0,9,9,10,6,10,1,1,1,1,1,1,1,1,1,1,1,10,7,6,10,6,10,10,10,10,35,4,61,20,,1,1,1,,2,,1,,2,3,1,,4,6,1,1,1,1,2,1,8,7,3,6,0,0,24
33,20210501-shapefuture-a-session2-as,,4,8,0,6,0,10,8,3,2,8,1,4,6,6,6,7,5,6,8,4,3,6,7,6,4,5,8,7,6,7,4,6,5,3,8,8,3,4,2,6,9,8,4,4,10,9,5,10,8,8,6,9,9,5,9,9,4,6,2,6,3,9,4,6,5,9,7,6,7,4,0,1,1,0,0,1,0,0,1,0,0,3,7,5,7,2,3,1,8,7,48,77,56,53,,2,1,2,2,,,1,1,2,3,1,,1,4,3,2,2,1,3,3,1,0,3,4,5,6,26
34,20210501-shapefuture-b-session2-h,20210502-shapefuture-b-session2-j,9,7,9,9,9,2,7,8,9,8,6,8,7,6,0,6,8,7,7,4,7,6,6,7,7,7,7,7,8,8,6,8,7,8,8,8,6,8,7,8,7,8,7,8,7,7,7,8,7,7,7,7,7,7,8,7,7,7,6,7,6,6,6,6,6,7,6,6,6,6,1,1,1,0,0,1,0,0,0,1,0,8,8,8,7,8,8,7,8,7,39,78,66,52,,1,1,3,,,2,1,1,1,3,1,,4,3,2,3,2,2,3,4,3,2,4,3,4,6,27
35,20210501-shapefuture-a-session2-t,20210502-shapefuture-a-session2-p,7,8,8,9,8,10,8,8,2,8,6,8,8,8,10,9,10,8,8,9,10,7,8,9,9,9,8,8,9,7,3,6,1,2,10,10,10,5,1,8,6,5,2,6,10,5,7,10,10,10,10,10,3,9,4,10,7,8,7,3,9,7,7,5,4,10,9,9,8,10,1,1,1,0,1,1,1,1,0,1,1,10,8,9,8,6,9,5,6,8,60,8,28,48,,1,2,1,,1,,1,1,2,2,2,1,1,7,1,1,1,1,2,1,8,5,1,7,2,0,
36,20210501-shapefuture-b-session2-b,20210502-shapefuture-b-session2-f,7,8,5,3,7,10,2,7,2,7,0,10,0,10,7,10,8,10,8,0,8,5,5,10,7,5,0,3,5,10,3,0,3,0,10,10,7,2,0,10,10,10,2,0,10,8,2,8,2,10,10,0,7,10,10,10,5,6,3,5,6,7,3,0,6,8,8,10,10,10,1,1,1,1,1,1,1,1,0,1,1,9,3,7,7,2,7,9,7,7,65,30,40,80,,1,1,1,,2,,1,,1,3,1,,1,5,2,1,4,1,2,3,8,1,3,5,3,4,26
37,20210501-shapefuture-b-session1-d,20210502-shapefuture-b-session1-f,5,10,10,8,4,6,9,10,3,5,6,6,2,6,10,10,10,7,9,8,10,10,8,10,9,8,6,7,10,10,0,0,0,0,10,10,10,5,0,0,5,6,4,0,7,10,10,10,10,7,8,8,3,4,2,10,0,10,5,3,3,10,0,0,7,10,5,7,6,10,0,1,1,0,0,1,0,1,1,1,1,10,10,10,10,6,8,10,10,8,42,15,41,53,,1,1,1,,2,,2,2,1,2,2,2,5,4,1,1,1,1,3,3,8,4,1,4,2,0,
38,20210501-shapefuture-a-session2-k,20210502-shapefuture-a-session2-a,3,6,5,3,0,10,10,10,4,6,1,8,2,9,10,10,7,0,3,5,10,10,7,10,10,10,5,4,10,6,4,4,2,1,10,10,10,1,1,1,1,1,1,1,10,8,6,10,10,10,10,10,5,10,5,5,5,6,0,7,10,8,0,0,10,9,6,6,0,0,1,1,1,0,1,1,1,1,1,1,1,10,7,8,7,10,10,10,3,10,7,3,5,10,,3,2,2,4,,,1,2,2,3,1,,1,2,2,3,3,2,5,5,5,3,2,2,5,5,27
39,20210501-shapefuture-a-session1-r,20210502-shapefuture-a-session1-p,4,4,2,3,3,4,1,6,7,3,5,5,5,7,8,8,8,9,8,6,7,7,7,8,8,7,8,8,8,1,3,7,5,4,5,7,1,8,5,2,5,5,6,6,4,3,3,6,5,8,7,6,7,8,4,4,5,7,3,4,7,7,2,2,7,6,6,9,7,7,0,1,1,0,0,0,1,1,0,1,1,10,8,8,8,9,7,7,7,8,19,58,5,46,,1,1,3,,,2,1,2,1,2,2,2,1,6,1,1,1,1,2,3,8,7,4,6,6,7,
40,20210501-shapefuture-b-session1-e,,5,8,4,10,4,4,3,10,2,7,3,8,0,10,5,7,7,0,9,0,9,0,5,3,3,3,6,7,3,3,3,3,4,3,8,8,4,3,4,7,6,9,3,3,9,3,2,10,8,8,8,5,4,8,7,10,7,6,4,7,7,5,5,6,3,7,5,6,7,10,0,0,1,0,1,1,1,0,0,1,1,10,5,4,8,10,8,10,7,8,,,,,,1,2,2,1,,,1,2,5,2,2,2,1,1,3,3,1,1,3,3,5,1,1,1,,3,
41,20210501-shapefuture-b-session1-c,20210502-shapefuture-b-session1-e,4,6,5,7,8,8,6,10,0,8,0,1,5,9,8,6,9,0,5,5,8,6,6,5,5,5,5,6,6,4,1,0,4,3,7,10,10,0,0,10,0,10,0,0,10,0,0,10,10,10,10,10,3,7,0,10,0,3,0,3,8,8,1,3,6,10,5,7,3,10,1,1,1,0,1,1,0,1,1,1,1,10,5,2,4,2,2,2,7,5,70,8,49,47,,1,1,1,,2,,1,1,1,3,1,,1,5,2,2,1,1,4,4,8,4,3,5,1,0,22
42,20210501-shapefuture-a-session2-p,20210502-shapefuture-a-session2-q,1,10,8,7,6,10,10,9,3,10,3,9,,5,6,8,9,9,9,10,9,10,10,10,8,6,3,5,7,7,1,1,2,0,8,10,10,2,0,8,6,6,0,0,10,8,6,7,7,10,10,7,4,9,7,10,8,10,7,4,2,8,1,3,8,7,8,6,0,9,1,1,1,0,0,1,0,1,0,0,1,10,5,7,9,8,9,10,7,10,42,3,2,63,,1,1,1,,1,,1,1,5,1,1,,2,5,1,1,1,1,4,4,6,3,2,5,1,1,28
43,20210501-shapefuture-a-session1-r,20210502-shapefuture-a-session1-g,4,8,7,7,9,3,3,5,2,1,0,1,1,8,10,10,10,5,10,,,1,8,10,10,10,3,10,10,9,3,3,3,3,10,10,3,3,3,1,1,8,1,1,10,7,5,10,10,10,10,7,7,6,6,10,5,5,5,8,8,8,3,7,7,6,3,6,6,9,0,1,1,0,0,0,0,1,1,1,1,10,10,10,10,10,10,10,10,10,70,50,50,60,,1,2,1,,1,,1,1,1,2,2,2,4,2,3,4,2,2,6,5,1,0,2,2,2,3,
44,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-t,3,8,8,4,3,9,10,10,8,7,0,8,1,10,10,8,9,7,9,6,4,8,7,10,8,7,9,9,10,7,1,7,0,0,10,10,10,1,0,7,9,10,1,0,6,8,8,8,8,7,9,7,1,10,7,9,4,6,3,8,7,1,1,4,8,8,7,8,6,10,1,1,1,0,0,1,1,1,1,1,1,8,7,8,8,10,9,8,8,8,85,15,40,75,,1,1,1,,1,,1,2,1,3,1,,2,5,1,2,1,1,5,5,5,3,2,5,2,2,24
